date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:13	74025/74025	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Nov%202025%2005:44:13%20GMT	https://www.nextgenpanels.com/	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/index.html	(from )
11:14:13	185/185	---M-Z	200	added ('OK')	text/plain	etag:%2222c-64ad0ac5-d09ed8f0dacbed16;gz%22	https://www.nextgenpanels.com/robots.txt		(from )
11:14:13	206110/206110	---M-Z	200	added ('OK')	text/css	etag:%223251e-63ea2067-6ff3aa788f9bc3ff;gz%22	https://www.nextgenpanels.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/bootstrap.min.css	(from https://www.nextgenpanels.com/)
11:14:13	22024/22024	---M-Z	200	added ('OK')	text/css	etag:%225608-63ea2067-c7b9c15950eb18ee;gz%22	https://www.nextgenpanels.com/assets/css/custom-bootstrap.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/custom-bootstrap.css	(from https://www.nextgenpanels.com/)
11:14:13	68556/68556	---M-Z	200	added ('OK')	text/css	etag:%2210bcc-63ea2067-6211c147d48279e7;gz%22	https://www.nextgenpanels.com/assets/css/animate.min.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/animate.min.css	(from https://www.nextgenpanels.com/)
11:14:13	15704/15704	---M-Z	200	added ('OK')	text/css	etag:%223d58-63ea2067-4896b6dac13aa69;gz%22	https://www.nextgenpanels.com/assets/css/custom-animation.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/custom-animation.css	(from https://www.nextgenpanels.com/)
11:14:14	173777/173777	---M-Z	200	added ('OK')	text/css	etag:%222a6d1-63ea2067-697becfabd15b7c8;gz%22	https://www.nextgenpanels.com/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/fontawesome.min.css	(from https://www.nextgenpanels.com/)
11:14:14	2814/2814	---M-Z	200	added ('OK')	text/css	etag:%22afe-63ea2067-94c7af9b0c0e3dd7;gz%22	https://www.nextgenpanels.com/assets/css/meanmenu.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/meanmenu.css	(from https://www.nextgenpanels.com/)
11:14:14	2438/2438	---M-Z	200	added ('OK')	text/css	etag:%22986-63ea2067-53edc72cef80042d;gz%22	https://www.nextgenpanels.com/assets/css/flaticon.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/flaticon.css	(from https://www.nextgenpanels.com/)
11:14:14	3974/3974	---M-Z	200	added ('OK')	text/css	etag:%22f86-63ea2067-d13e519760b50479;gz%22	https://www.nextgenpanels.com/assets/css/nice-select.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/nice-select.css	(from https://www.nextgenpanels.com/)
11:14:15	18726/18726	---M-Z	200	added ('OK')	text/css	etag:%224926-63ea2067-4f96124cb96a0e59;gz%22	https://www.nextgenpanels.com/assets/css/venobox.min.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/venobox.min.css	(from https://www.nextgenpanels.com/)
11:14:15	1172/1172	---M-Z	200	added ('OK')	text/css	etag:%22494-64ad07e4-3d7621ba047de837;gz%22	https://www.nextgenpanels.com/assets/css/backToTop.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/backToTop.css	(from https://www.nextgenpanels.com/)
11:14:15	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-63ea2067-8000e0f114005206;gz%22	https://www.nextgenpanels.com/assets/css/slick.css	C:/My%20Web%20Sites/finetechpowercontrols/www.nextgenpanels.com/assets/css/slick.css	(from https://www.nextgenpanels.com/)
